timestamp,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,label
460205,1.703125,8.339844,-4.867187,0.263672,-0.085937,0.111328,0.026062,-0.136475,-0.853149,-0.502869,down
460210,1.703125,8.378906,-4.828125,0.152344,-0.119141,0.027344,0.026123,-0.136169,-0.853638,-0.502075,down
460215,1.742188,8.339844,-4.867187,0.001953,-0.142578,-0.041016,0.026123,-0.136169,-0.853638,-0.502075,down
460220,1.703125,8.257813,-4.945312,-0.083984,-0.134766,-0.078125,0.026001,-0.135986,-0.85376,-0.501953,down
460225,1.664063,8.222656,-4.984375,-0.083984,-0.134766,-0.078125,0.025757,-0.135681,-0.85376,-0.502014,down
460230,1.703125,8.1875,-4.90625,-0.083984,-0.134766,-0.078125,0.025208,-0.13501,-0.853516,-0.502625,down
460235,1.703125,8.1875,-4.90625,-0.083984,-0.134766,-0.078125,0.024902,-0.134583,-0.853333,-0.503052,down
460240,1.78125,7.953125,-4.984375,-0.083984,-0.134766,-0.078125,0.024902,-0.134583,-0.853333,-0.503052,down
460245,1.816406,7.914062,-4.945312,-0.306641,-0.085937,-0.115234,0.024902,-0.134583,-0.853333,-0.503052,down
460251,1.78125,7.875,-4.90625,-0.261719,-0.080078,-0.101563,0.024414,-0.133606,-0.852783,-0.504272,down
460256,1.78125,7.875,-4.90625,-0.261719,-0.080078,-0.101563,0.024048,-0.13269,-0.852356,-0.50531,down
460261,1.78125,7.804687,-4.828125,-0.128906,-0.0625,-0.058594,0.023926,-0.132324,-0.852173,-0.505676,down
460267,1.742188,7.835937,-4.867187,-0.128906,-0.0625,-0.058594,0.023865,-0.132019,-0.852112,-0.505859,down
460272,1.78125,7.835937,-4.828125,-0.128906,-0.0625,-0.058594,0.023926,-0.131714,-0.852173,-0.505859,down
460277,1.78125,7.835937,-4.90625,-0.128906,-0.0625,-0.058594,0.024048,-0.13147,-0.852295,-0.505676,down
460282,1.78125,7.835937,-4.828125,0.222656,-0.042969,0.037109,0.024048,-0.13147,-0.852295,-0.505676,down
460288,1.742188,7.878906,-4.753906,0.291016,-0.041016,0.050781,0.024048,-0.13147,-0.852295,-0.505676,down
460294,1.703125,7.996094,-4.792969,0.335938,-0.029297,0.054687,0.024048,-0.13147,-0.852295,-0.505676,down
460299,1.664063,8.113281,-4.867187,0.355469,-0.027344,0.037109,0.024048,-0.13147,-0.852295,-0.505676,down
460305,1.664063,8.296875,-4.867187,0.349609,-0.044922,0.023437,0.024048,-0.13147,-0.852295,-0.505676,down
460310,1.664063,8.339844,-4.867187,0.349609,-0.044922,0.023437,0.025513,-0.129944,-0.855225,-0.501099,down
460315,1.664063,8.378906,-4.867187,0.349609,-0.044922,0.023437,0.025574,-0.129578,-0.85553,-0.500671,down
460320,1.664063,8.378906,-4.867187,0.349609,-0.044922,0.023437,0.025574,-0.129578,-0.85553,-0.500671,down
460325,1.664063,8.339844,-4.90625,0.058594,-0.078125,-0.111328,0.025574,-0.129578,-0.85553,-0.500671,down
460331,1.664063,8.257813,-4.945312,-0.105469,-0.101563,-0.166016,0.02533,-0.128723,-0.855835,-0.500366,down
460336,1.664063,8.257813,-4.945312,-0.177734,-0.115234,-0.167969,0.024719,-0.127686,-0.855774,-0.500732,down
460341,1.664063,8.152344,-5.019531,-0.177734,-0.115234,-0.167969,0.024292,-0.127197,-0.855591,-0.50116,down
460346,1.703125,8.152344,-5.019531,-0.177734,-0.115234,-0.167969,0.023987,-0.126709,-0.855408,-0.501648,down
460351,1.703125,8.070313,-5.058594,-0.263672,-0.0625,-0.177734,0.023621,-0.126099,-0.855164,-0.502258,down
460357,1.703125,8.070313,-5.019531,-0.263672,-0.0625,-0.177734,0.023376,-0.12561,-0.85498,-0.502686,down
460362,1.703125,8.148438,-5.097656,-0.263672,-0.0625,-0.177734,0.023193,-0.125,-0.854797,-0.503174,down
460368,1.664063,8.21875,-5.097656,-0.263672,-0.0625,-0.177734,0.023193,-0.125,-0.854797,-0.503174,down
460373,1.664063,8.21875,-5.097656,0.013672,0.025391,-0.117188,0.023193,-0.125,-0.854797,-0.503174,down
460378,1.664063,8.261719,-5.019531,0.087891,0.027344,-0.099609,0.023193,-0.125,-0.854797,-0.503174,down
460383,1.625,8.300781,-4.945312,0.179687,0.037109,-0.083984,0.023193,-0.125,-0.854797,-0.503174,down
460388,1.625,8.378906,-4.90625,0.242187,0.044922,-0.078125,0.023193,-0.125,-0.854797,-0.503174,down
460393,1.625,8.339844,-4.867187,0.287109,0.037109,-0.054687,0.023193,-0.125,-0.854797,-0.503174,down
460398,1.625,8.375,-4.792969,0.316406,0.027344,-0.042969,0.023193,-0.125,-0.854797,-0.503174,down
460404,1.625,8.335938,-4.753906,0.316406,0.027344,-0.042969,0.024231,-0.121094,-0.856689,-0.500854,down
460409,1.625,8.335938,-4.714844,0.294922,-0.011719,-0.03125,0.024231,-0.121094,-0.856689,-0.500854,down
460414,1.625,8.300781,-4.714844,0.294922,-0.011719,-0.03125,0.024536,-0.120422,-0.857544,-0.499573,down
460419,1.625,8.191406,-4.714844,0.294922,-0.011719,-0.03125,0.024536,-0.120422,-0.857544,-0.499573,down
460425,1.625,8.148438,-4.714844,0.294922,-0.011719,-0.03125,0.024658,-0.119873,-0.858032,-0.498779,down
460430,1.664063,8.074219,-4.753906,0.294922,-0.011719,-0.03125,0.024597,-0.119629,-0.858215,-0.498596,down
460435,1.625,8.035156,-4.867187,-0.001953,-0.058594,-0.0625,0.024536,-0.119385,-0.858276,-0.498535,down
460441,1.625,8.070313,-4.867187,-0.070312,-0.037109,-0.083984,0.024536,-0.119385,-0.858276,-0.498535,down
460446,1.625,8.035156,-4.828125,-0.070312,-0.037109,-0.083984,0.024231,-0.118347,-0.858215,-0.49884,down
460451,1.664063,7.992187,-4.828125,-0.070312,-0.037109,-0.083984,0.02417,-0.117981,-0.858215,-0.498962,down
460457,1.664063,7.953125,-4.867187,-0.070312,-0.037109,-0.083984,0.024048,-0.117554,-0.858215,-0.499084,down
