timestamp,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,label
326943,-8.457031,3.960938,0.5625,-0.091797,0.019531,0.027344,0.49115,-0.287476,0.616028,0.544617,up
326948,-8.453125,4.0,0.484375,-0.099609,0.074219,0.015625,0.49115,-0.287476,0.616028,0.544617,up
326953,-8.453125,4.0,0.484375,-0.099609,0.074219,0.015625,0.490662,-0.287903,0.616028,0.544861,up
326958,-8.457031,4.0,0.5625,-0.099609,0.074219,0.015625,0.490356,-0.288025,0.61615,0.544922,up
326964,-8.492188,4.0,0.523437,-0.099609,0.074219,0.015625,0.490051,-0.288208,0.616272,0.544983,up
326969,-8.457031,3.960938,0.5625,-0.046875,0.134766,0.064453,0.489685,-0.288391,0.616394,0.545044,up
326974,-8.382813,3.960938,0.5625,-0.046875,0.134766,0.064453,0.489319,-0.288513,0.616638,0.545105,up
326980,-8.382813,3.925781,0.597656,-0.046875,0.134766,0.064453,0.488953,-0.288635,0.616821,0.545105,up
326985,-8.382813,3.925781,0.5625,0.0,0.173828,0.101563,0.488525,-0.288757,0.617126,0.545105,up
326991,-8.382813,3.960938,0.5625,0.021484,0.189453,0.105469,0.488525,-0.288757,0.617126,0.545105,up
326997,-8.425781,4.078125,0.5625,0.021484,0.189453,0.105469,0.487183,-0.28894,0.618286,0.544922,up
327002,-8.457031,4.078125,0.445312,0.021484,0.189453,0.105469,0.487183,-0.28894,0.618286,0.544922,up
327007,-8.492188,4.039062,0.523437,0.027344,0.236328,0.128906,0.487183,-0.28894,0.618286,0.544922,up
327012,-8.53125,4.039062,0.523437,0.017578,0.248047,0.128906,0.487183,-0.28894,0.618286,0.544922,up
327017,-8.570313,4.039062,0.5625,0.017578,0.248047,0.128906,0.485535,-0.289246,0.619568,0.544678,up
327023,-8.6875,3.925781,0.597656,-0.021484,0.277344,0.140625,0.485535,-0.289246,0.619568,0.544678,up
327028,-8.691406,3.847656,0.5625,-0.041016,0.277344,0.136719,0.483521,-0.289917,0.62085,0.544678,up
327033,-8.765625,3.847656,0.597656,-0.041016,0.277344,0.136719,0.482849,-0.290222,0.621216,0.544739,up
327038,-8.765625,3.769531,0.675781,-0.041016,0.277344,0.136719,0.482849,-0.290222,0.621216,0.544739,up
327043,-8.769531,3.769531,0.636719,-0.103516,0.238281,0.087891,0.482849,-0.290222,0.621216,0.544739,up
327049,-8.847656,3.847656,0.636719,-0.103516,0.238281,0.087891,0.481079,-0.291138,0.621948,0.544922,up
327054,-8.875,3.847656,0.636719,-0.103516,0.238281,0.087891,0.48053,-0.291443,0.622253,0.544922,up
327059,-8.847656,3.886719,0.636719,-0.050781,0.201172,0.037109,0.480103,-0.291748,0.622437,0.544922,up
327064,-8.875,3.925781,0.675781,-0.03125,0.175781,0.025391,0.479736,-0.291992,0.622681,0.544861,up
327070,-8.808594,4.0,0.597656,-0.03125,0.175781,0.025391,0.479431,-0.292236,0.622864,0.5448,up
327076,-8.84375,4.078125,0.597656,-0.025391,0.158203,0.007813,0.479431,-0.292236,0.622864,0.5448,up
327081,-8.847656,4.078125,0.523437,-0.025391,0.15625,0.005859,0.479431,-0.292236,0.622864,0.5448,up
327086,-8.84375,4.078125,0.445312,-0.037109,0.154297,0.007813,0.479431,-0.292236,0.622864,0.5448,up
327091,-8.808594,4.078125,0.445312,-0.044922,0.150391,0.011719,0.479431,-0.292236,0.622864,0.5448,up
327096,-8.765625,4.078125,0.484375,-0.048828,0.162109,0.017578,0.479431,-0.292236,0.622864,0.5448,up
327101,-8.769531,4.078125,0.445312,-0.058594,0.164062,0.029297,0.479431,-0.292236,0.622864,0.5448,up
327106,-8.765625,4.078125,0.40625,-0.058594,0.164062,0.029297,0.479431,-0.292236,0.622864,0.5448,up
327112,-8.765625,4.039062,0.40625,-0.058594,0.164062,0.029297,0.476746,-0.29425,0.624146,0.544556,up
327118,-8.769531,4.0,0.445312,-0.109375,0.203125,0.068359,0.475769,-0.2948,0.624512,0.544739,up
327123,-8.769531,4.039062,0.332031,-0.109375,0.203125,0.068359,0.475769,-0.2948,0.624512,0.544739,up
327128,-8.765625,4.039062,0.40625,-0.113281,0.240234,0.105469,0.475769,-0.2948,0.624512,0.544739,up
327133,-8.726563,4.078125,0.332031,-0.113281,0.240234,0.105469,0.474487,-0.295471,0.624939,0.544983,up
327139,-8.875,4.039062,0.367188,-0.113281,0.240234,0.105469,0.473267,-0.295959,0.625427,0.545166,up
327144,-8.957031,4.0,0.445312,-0.113281,0.240234,0.105469,0.472717,-0.296204,0.625732,0.545227,up
327149,-8.992188,3.886719,0.445312,0.001953,0.251953,0.117188,0.472046,-0.296387,0.62616,0.545227,up
327154,-8.914063,3.808594,0.523437,0.001953,0.251953,0.117188,0.471497,-0.296509,0.626587,0.545105,up
327159,-8.917969,3.808594,0.597656,0.001953,0.251953,0.117188,0.471069,-0.296631,0.627014,0.544922,up
327164,-8.953125,3.886719,0.5625,0.001953,0.251953,0.117188,0.470642,-0.296692,0.627502,0.544678,up
327169,-8.953125,3.960938,0.523437,0.148437,0.216797,0.035156,0.470337,-0.296753,0.628052,0.544312,up
327175,-8.914063,4.078125,0.523437,0.148437,0.216797,0.035156,0.470093,-0.296814,0.628479,0.544006,up
327180,-8.878906,4.191406,0.523437,0.148437,0.216797,0.035156,0.469849,-0.296814,0.629028,0.543518,up
327186,-8.878906,4.230469,0.523437,0.189453,0.191406,0.011719,0.469849,-0.296814,0.629028,0.543518,up
327191,-8.875,4.230469,0.445312,0.181641,0.181641,0.015625,0.469849,-0.296814,0.629028,0.543518,up
327197,-8.914063,4.308594,0.484375,0.181641,0.181641,0.015625,0.469849,-0.296814,0.629028,0.543518,up
327203,-8.875,4.308594,0.484375,0.132812,0.158203,0.023437,0.469849,-0.296814,0.629028,0.543518,up
327208,-8.847656,4.347656,0.445312,0.087891,0.138672,0.025391,0.468689,-0.296997,0.631592,0.541504,up
327213,-8.84375,4.347656,0.40625,0.087891,0.138672,0.025391,0.468445,-0.297058,0.631836,0.541382,up
327218,-8.847656,4.308594,0.367188,-0.017578,0.121094,0.044922,0.468445,-0.297058,0.631836,0.541382,up
327223,-8.808594,4.347656,0.367188,-0.044922,0.105469,0.066406,0.468079,-0.29718,0.63208,0.541321,up
327229,-8.808594,4.347656,0.40625,-0.044922,0.105469,0.066406,0.467834,-0.297241,0.632263,0.541321,up
327235,-8.769531,4.421875,0.367188,-0.044922,0.105469,0.066406,0.467102,-0.297485,0.632507,0.541565,up
327242,-8.726563,4.460937,0.292969,-0.125,0.101563,0.109375,0.467102,-0.297485,0.632507,0.541565,up
327247,-8.726563,4.5,0.332031,-0.136719,0.107422,0.128906,0.467102,-0.297485,0.632507,0.541565,up
327252,-8.726563,4.539062,0.253906,-0.150391,0.123047,0.160156,0.467102,-0.297485,0.632507,0.541565,up
327257,-8.6875,4.539062,0.253906,-0.173828,0.136719,0.175781,0.467102,-0.297485,0.632507,0.541565,up
327262,-8.769531,4.5,0.292969,-0.205078,0.148437,0.195312,0.467102,-0.297485,0.632507,0.541565,up
327267,-8.808594,4.460937,0.292969,-0.232422,0.166016,0.224609,0.467102,-0.297485,0.632507,0.541565,up
327272,-8.847656,4.230469,0.292969,-0.232422,0.166016,0.224609,0.467102,-0.297485,0.632507,0.541565,up
327277,-8.878906,4.117187,0.332031,-0.232422,0.166016,0.224609,0.462036,-0.298462,0.633179,0.544495,up
