timestamp,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,label
75046,4.777344,3.8125,8.082031,0.990234,0.238281,0.105469,0.958618,0.165527,-0.228027,-0.0401,up
75051,4.777344,3.8125,8.082031,0.861328,0.261719,0.130859,0.958618,0.165527,-0.228027,-0.0401,up
75056,4.777344,3.660156,8.042969,0.861328,0.261719,0.130859,0.958435,0.167603,-0.227539,-0.039246,up
75061,4.777344,3.660156,8.042969,0.748047,0.302734,0.15625,0.958435,0.167603,-0.227539,-0.039246,up
75066,4.8125,3.660156,8.003906,0.748047,0.302734,0.15625,0.958252,0.169495,-0.22699,-0.038391,up
75071,4.8125,3.660156,8.003906,0.501953,0.462891,0.208984,0.958191,0.173645,-0.224609,-0.035583,up
75077,4.738281,3.203125,8.109375,0.501953,0.462891,0.208984,0.958252,0.174744,-0.223572,-0.034668,up
75082,4.660156,3.085938,8.109375,0.408203,0.574219,0.207031,0.958252,0.174744,-0.223572,-0.034668,up
75087,4.546875,3.007813,8.113281,0.410156,0.595703,0.212891,0.958557,0.176636,-0.221008,-0.032776,up
75093,4.621094,2.933594,8.304688,0.453125,0.595703,0.201172,0.95874,0.177551,-0.219727,-0.031799,up
75099,4.585937,2.894531,8.347656,0.5,0.597656,0.183594,0.95874,0.177551,-0.219727,-0.031799,up
75104,4.621094,2.816406,8.34375,0.554687,0.603516,0.169922,0.95874,0.177551,-0.219727,-0.031799,up
75110,4.621094,2.855469,8.34375,0.609375,0.615234,0.152344,0.95874,0.177551,-0.219727,-0.031799,up
75116,4.546875,2.894531,8.382813,0.736328,0.607422,0.109375,0.95874,0.177551,-0.219727,-0.031799,up
75121,4.46875,2.933594,8.386719,0.736328,0.607422,0.109375,0.959106,0.186523,-0.211304,-0.026184,up
75126,4.316406,2.972656,8.347656,0.736328,0.607422,0.109375,0.959106,0.186523,-0.211304,-0.026184,up
75131,4.394531,3.046875,8.308594,0.736328,0.607422,0.109375,0.958923,0.19043,-0.208801,-0.024658,up
75136,4.355469,3.125,8.308594,0.736328,0.607422,0.109375,0.958801,0.192749,-0.207397,-0.023865,up
75141,4.355469,3.203125,8.269531,0.925781,0.591797,0.021484,0.958801,0.192749,-0.207397,-0.023865,up
75146,4.316406,3.316406,8.304688,0.917969,0.607422,0.025391,0.958618,0.19519,-0.205933,-0.02301,up
75152,4.316406,3.316406,8.304688,0.880859,0.642578,0.03125,0.958374,0.199402,-0.203186,-0.021545,up
75157,4.277344,3.546875,8.226563,0.880859,0.642578,0.03125,0.958313,0.201477,-0.20166,-0.020752,up
75162,4.277344,3.621094,8.191406,0.779297,0.708984,0.050781,0.958252,0.203491,-0.200012,-0.019897,up
75168,4.238281,3.738281,8.148438,0.779297,0.708984,0.050781,0.958191,0.205261,-0.198303,-0.019104,up
75173,4.199219,3.8125,8.039063,0.623047,0.804687,0.091797,0.958252,0.206848,-0.196472,-0.01825,up
75179,4.164062,3.8125,8.082031,0.537109,0.859375,0.109375,0.958252,0.206848,-0.196472,-0.01825,up
75184,3.855469,4.042969,8.269531,0.431641,0.921875,0.130859,0.958252,0.206848,-0.196472,-0.01825,up
75189,3.625,4.121094,8.191406,0.355469,0.970703,0.15625,0.958252,0.206848,-0.196472,-0.01825,up
75194,3.320313,4.160156,8.078125,0.3125,1.021484,0.167969,0.958252,0.206848,-0.196472,-0.01825,up
75199,3.167969,4.160156,8.113281,0.248047,1.039063,0.167969,0.958252,0.206848,-0.196472,-0.01825,up
75205,3.011719,4.160156,8.382813,0.248047,1.039063,0.167969,0.960205,0.212585,-0.180786,-0.011475,up
75210,2.9375,4.160156,8.425781,0.248047,1.039063,0.167969,0.960205,0.212585,-0.180786,-0.011475,up
75216,2.9375,4.042969,8.425781,0.042969,0.888672,0.097656,0.960205,0.212585,-0.180786,-0.011475,up
75221,2.976563,3.929688,8.574219,0.042969,0.888672,0.097656,0.961304,0.213013,-0.174377,-0.009277,up
